Role Category,Role,Functional Area,Industry,Skill1,Skill2,Skill3,Skill4,Skill5
67,424,35,41,2512,1963,9712,3272,3537
67,405,35,34,7425,7880,5052,7068,1623
67,424,35,21,7425,7068,10365,9167,7880
67,424,35,21,4830,1803,5025,5961,8594
67,364,35,30,5459,6024,6590,253,1508
67,364,35,30,1521,11078,1175,8646,1719
67,405,35,6,1258,6643,10433,7193,8578
67,405,35,6,7880,1623,3944,6509,4831
67,424,35,30,5337,10365,1090,7155,10029
67,424,35,30,1370,7690,122,849,2185
67,364,35,43,10365,2233,6386,6597,5654
67,364,35,43,8300,6722,11337,7425,11589
67,364,35,4,6722,722,3814,9882,8037
67,424,35,41,7068,9804,4601,7880,8517
67,364,35,45,6722,11672,9395,11274,6609
67,364,35,45,7122,7874,9878,11449,7848
67,364,35,4,10433,7880,1519,6261,11659
67,364,35,4,3534,2880,10708,6941,11589
67,405,35,1,1499,7787,7249,7067,8506
67,405,35,1,7508,9712,4184,1156,7934
67,424,35,43,1499,7249,8506,6384,7934
67,424,35,41,6386,8090,3795,253,2671
67,424,35,41,4830,9954,8880,574,5308
67,424,35,41,5299,3229,1499,8517,6384
67,424,35,1,689,1161,10433,11449,8445
67,424,35,38,11191,9813,9254,11452,7690
67,364,35,38,962,6101,5514,3534,5955
67,424,35,52,11191,9813,9254,11452,7690
67,424,35,17,2344,10685,7642,253,6761
67,424,35,10,6386,7880,3229,253,4838
67,424,35,39,3795,9882,4312,5547,253
67,364,35,30,6640,8310,5514,7146,3275
67,364,35,30,11589,7201,4999,4347,7846
67,364,35,30,8370,3094,11274,2284,10433
67,202,35,4,5272,7642,10433,7880,308
67,424,35,1,7642,7603,10593,7249,9882
67,424,35,46,1563,5052,9804,10352,2614
67,424,35,21,4488,6071,885,10352,7527
67,424,35,45,1563,11191,9254,7690,3894
67,424,35,1,10433,8517,8493,4838,5069
67,424,35,45,6386,43,9158,5560,905
67,424,35,45,10077,8517,4830,5811,8493
67,364,35,24,7425,6384,6386,9509,10433
67,364,35,24,4488,7880,3795,253,9372
67,424,35,43,10071,10410,11274,7249,7508
67,424,35,43,4830,5654,9452,6722,7934
67,424,35,34,11671,2573,253,6247,8517
67,364,35,16,821,11449,9768,11274,4488
67,424,35,43,3106,253,11274,7773,1175
67,424,35,43,3,7880,9628,10072,1596
67,405,35,52,7934,6386,8509,7880,5514
67,405,35,52,3795,9372,7249,868,8753
67,424,35,25,1812,1740,9771,7690,4830
67,424,35,43,6386,10433,7880,3229,253
67,424,35,41,3386,9272,3672,11136,2139
67,424,35,41,868,7690,5908,797,11668
67,405,35,1,5644,9095,7880,1623,5255
67,424,35,12,4652,7536,689,11310,1544
67,424,35,12,2658,9002,8987,8445,11449
67,424,35,12,2174,6459,2194,4242,253
67,424,35,34,10433,10524,7228,4034,9116
67,424,35,34,9354,7642,1276,1341,868
67,424,35,1,10433,4711,7880,868,4236
67,424,35,41,10685,7642,3757,7527,7045
67,424,35,21,3281,1673,8517,11591,9012
67,424,35,58,424,2233,3534,7880,9683
67,424,35,58,466,3795,1499,7249,5560
67,424,35,43,11191,9254,11452,7690,3894
67,364,35,41,7618,10433,6722,7880,868
67,424,35,13,10433,6597,10373,10135,7249
67,424,35,13,6984,9452,8646,868,9955
67,405,35,58,5128,7976,3795,6386,689
67,405,35,58,1499,7249,8661,2649,7934
67,424,35,52,10653,10308,10703,10590,3756
67,424,35,12,10071,3728,8370,8445,7880
67,424,35,1,7425,11411,253,1499,9372
67,424,35,1,11231,122,7193,8834,9608
67,424,35,12,4620,574,2068,9882,230
67,424,35,12,3320,9404,6133,7045,7527
67,364,35,41,5525,2613,10433,3534,9750
67,364,35,41,7808,7880,2938,4701,7220
67,323,35,41,7603,5514,4109,622,3534
67,323,35,41,1012,1090,3656,10708,7598
67,364,35,26,10365,6386,1499,6597,9395
67,364,35,26,7249,4709,6384,6657,141
67,424,35,43,8506,7508,6384,868,7425
67,424,35,43,10365,1846,9509,4312,2234
67,424,35,43,6038,4711,6864,7618,4830
67,424,35,34,9509,4838,11182,8493,6984
67,424,35,34,5654,10285,11589,9712,4464
67,424,35,34,868,8517,8646,6386,10433
67,424,35,34,7880,9882,8798,6120,1882
67,405,35,30,5272,3489,7880,5514,8200
67,405,35,1,2896,9954,2307,7045,8753
67,405,35,1,1623,7527,4830,3164,8517
67,405,35,43,7976,10365,10151,7249,8834
67,424,35,48,8753,4838,3639,11290,5514
67,424,35,16,5710,7880,7045,9414,2334
67,424,35,3,6643,6386,10433,10527,9804
67,424,35,3,7249,6320,3795,8646,754
67,323,35,30,2233,6386,1499,4925,4599
67,323,35,30,6384,3579,9712,1829,10708
67,424,35,21,11392,9500,6529,4488,10553
67,424,35,52,8396,5174,5366,1450,2255
67,424,35,41,9631,6386,5219,7880,5514
67,424,35,41,7425,10433,8753,7880,4830
67,364,35,38,8200,10803,3534,8742,8370
67,434,35,41,6386,5219,9631,8458,3795
